order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,02-10-17 10:56,02-10-17 11:07,04-10-17 19:55,10-10-17 21:25,18-10-17 0:00
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,24-07-18 20:41,26-07-18 3:24,26-07-18 14:31,07-08-18 15:27,13-08-18 0:00
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,08-08-18 8:38,08-08-18 8:55,08-08-18 13:50,17-08-18 18:06,04-09-18 0:00
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,18-11-17 19:28,18-11-17 19:45,22-11-17 13:39,02-12-17 0:28,15-12-17 0:00
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,13-02-18 21:18,13-02-18 22:20,14-02-18 19:46,16-02-18 18:17,26-02-18 0:00
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,09-07-17 21:57,09-07-17 22:10,11-07-17 14:58,26-07-17 10:57,01-08-17 0:00
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,11-04-17 12:22,13-04-17 13:25,,,09-05-17 0:00
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,16-05-17 13:10,16-05-17 13:22,22-05-17 10:07,26-05-17 12:55,07-06-17 0:00
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,23-01-17 18:29,25-01-17 2:50,26-01-17 14:16,02-02-17 14:08,06-03-17 0:00
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,29-07-17 11:55,29-07-17 12:05,10-08-17 19:45,16-08-17 17:14,23-08-17 0:00
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,16-05-17 19:41,16-05-17 19:50,18-05-17 11:40,29-05-17 11:18,07-06-17 0:00
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,delivered,13-07-17 19:58,13-07-17 20:10,14-07-17 18:43,19-07-17 14:04,08-08-17 0:00
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,delivered,07-06-18 10:06,09-06-18 3:13,11-06-18 13:29,19-06-18 12:05,18-07-18 0:00
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,delivered,25-07-18 17:44,25-07-18 17:55,26-07-18 13:16,30-07-18 15:52,08-08-18 0:00
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,01-03-18 14:14,01-03-18 15:10,02-03-18 21:09,12-03-18 23:36,21-03-18 0:00
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,delivered,07-06-18 19:03,12-06-18 23:31,11-06-18 14:54,21-06-18 15:34,04-07-18 0:00
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,delivered,02-01-18 19:00,02-01-18 19:09,03-01-18 18:19,20-01-18 1:38,06-02-18 0:00
116f0b09343b49556bbad5f35bee0cdf,3187789bec990987628d7a9beb4dd6ac,delivered,26-12-17 23:41,26-12-17 23:50,28-12-17 18:33,08-01-18 22:36,29-01-18 0:00
85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,delivered,21-11-17 0:03,21-11-17 0:14,23-11-17 21:32,27-11-17 18:28,11-12-17 0:00
83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,delivered,26-10-17 15:54,26-10-17 16:08,26-10-17 21:46,08-11-17 22:22,23-11-17 0:00
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,delivered,18-09-17 14:31,19-09-17 4:04,06-10-17 17:50,09-10-17 22:23,28-09-17 0:00
f848643eec1d69395095eb3840d2051e,4fa1cd166fa598be6de80fa84eaade43,delivered,15-03-18 8:52,15-03-18 9:09,15-03-18 19:52,19-03-18 18:08,29-03-18 0:00
2807d0e504d6d4894d41672727bc139f,72ae281627a6102d9b3718528b420f8a,delivered,03-02-18 20:37,03-02-18 20:50,05-02-18 22:37,08-02-18 16:13,21-02-18 0:00
95266dbfb7e20354baba07964dac78d5,a166da34890074091a942054b36e4265,delivered,08-01-18 7:55,08-01-18 8:07,24-01-18 23:16,26-01-18 17:32,21-02-18 0:00
f3e7c359154d965827355f39d6b1fdac,62b423aab58096ca514ba6aa06be2f98,delivered,09-08-18 11:44,10-08-18 3:24,10-08-18 12:29,13-08-18 18:24,17-08-18 0:00
fbf9ac61453ac646ce8ad9783d7d0af6,3a874b4d4c4b6543206ff5d89287f0c3,delivered,20-02-18 23:46,22-02-18 2:30,26-02-18 22:25,21-03-18 22:03,12-03-18 0:00
acce194856392f074dbf9dada14d8d82,7e20bf5ca92da68200643bda76c504c6,delivered,04-06-18 0:00,05-06-18 0:35,05-06-18 13:24,16-06-18 15:20,18-07-18 0:00
dd78f560c270f1909639c11b925620ea,8b212b9525f9e74e85e37ed6df37693e,delivered,12-03-18 1:50,12-03-18 3:28,12-03-18 21:06,21-03-18 14:41,28-03-18 0:00
91b2a010e1e45e6ba3d133fa997597be,cce89a605105b148387c52e286ac8335,delivered,02-05-18 11:45,03-05-18 12:55,10-05-18 16:16,16-05-18 20:56,23-05-18 0:00
ecab90c9933c58908d3d6add7c6f5ae3,761df82feda9778854c6dafdaeb567e4,delivered,25-02-18 13:50,25-02-18 14:47,26-02-18 22:28,27-03-18 23:29,13-04-18 0:00
f70a0aff17df5a6cdd9a7196128bd354,456dc10730fbdba34615447ea195d643,delivered,10-08-17 11:58,12-08-17 2:45,17-08-17 15:35,18-08-17 14:28,23-08-17 0:00
1790eea0b567cf50911c057cf20f90f9,52142aa69d8d0e1247ab0cada0f76023,delivered,16-04-18 21:15,16-04-18 22:10,18-04-18 13:05,05-05-18 12:28,15-05-18 0:00
989225ba6d0ebd5873335f7e01de2ae7,816f8653d5361cbf94e58c33f2502a5c,delivered,12-12-17 13:56,14-12-17 13:54,16-12-17 0:18,03-01-18 18:03,08-01-18 0:00
d887b52c6516beb39e8cd44a5f8b60f7,d9ef95f98d8da3b492bb8c0447910498,delivered,03-02-18 12:38,03-02-18 12:50,05-02-18 21:26,22-02-18 0:07,07-03-18 0:00
b276e4f8c0fb86bd82fce576f21713e0,cf8ffeddf027932e51e4eae73b384059,delivered,29-07-18 23:34,29-07-18 23:45,30-07-18 14:43,31-07-18 22:48,06-08-18 0:00
8563039e855156e48fccee4d611a3196,5f16605299d698660e0606f7eae2d2f9,delivered,17-02-18 15:59,17-02-18 16:15,20-02-18 23:03,20-03-18 0:59,20-03-18 0:00
60550084e6b4c0cb89a87df1f3e5ebd9,f5458ddc3545711efa883dd7ae7c4497,delivered,21-02-18 18:15,23-02-18 2:10,27-02-18 18:52,13-03-18 23:58,29-03-18 0:00
5acce57f8d9dfd55fa48e212a641a69d,295ae9b35379e077273387ff64354b6f,delivered,31-07-17 21:37,02-08-17 2:56,03-08-17 18:32,08-08-17 21:24,22-08-17 0:00
434d158e96bdd6972ad6e6d73ddcfd22,2a1dfb647f32f4390e7b857c67458536,delivered,01-06-18 12:23,05-06-18 3:35,08-06-18 11:49,18-06-18 21:32,17-07-18 0:00
7206b86ea789983f7a273ea7fa0bc2a8,3391c4bc11a817e7973e498b0b023158,delivered,26-03-18 17:12,26-03-18 17:28,28-03-18 17:22,05-04-18 22:11,12-04-18 0:00
1e7aff52cdbb2451ace09d0f848c3699,ddaff536587109b89777e0353215e150,delivered,19-05-17 18:53,19-05-17 19:05,22-05-17 10:16,31-05-17 13:58,12-06-17 0:00
6ea2f835b4556291ffdc53fa0b3b95e8,c7340080e394356141681bd4c9b8fe31,delivered,24-11-17 21:27,25-11-17 0:21,13-12-17 21:14,28-12-17 18:59,21-12-17 0:00
948097deef559c742e7ce321e5e58919,8644be24d48806bc3a88fd59fb47ceb1,delivered,04-08-17 17:10,04-08-17 17:25,07-08-17 17:52,12-08-17 14:08,01-09-17 0:00
d22e9fa5731b9e30e8b27afcdc2f8563,756fb9391752dad934e0fe3733378e57,delivered,04-08-18 23:25,04-08-18 23:35,06-08-18 15:03,13-08-18 23:34,13-09-18 0:00
ee64d42b8cf066f35eac1cf57de1aa85,caded193e8e47b8362864762a83db3c5,shipped,04-06-18 16:44,05-06-18 4:31,05-06-18 14:32,,28-06-18 0:00
6ebaec694d7025e2ad4a05dba887c032,4f28355e5c17a4a42d3ce2439a1d4501,delivered,18-05-17 13:55,18-05-17 14:05,19-05-17 12:01,29-05-17 12:47,09-06-17 0:00
d17dc4a904426827ca80f2ccb3a6be56,569cf68214806a39acc0f39344aea67f,delivered,14-05-17 20:28,14-05-17 20:42,16-05-17 8:17,25-05-17 9:14,12-06-17 0:00
25f4376934e13d3508486352e11a5db0,12fd2740039676063a874b9567dfa651,delivered,17-05-18 16:59,18-05-18 1:17,18-05-18 13:02,21-05-18 15:22,25-05-18 0:00
5820a1100976432c7968a52da59e9364,2b56e94c2f66f2d97cfa63356f69cee8,delivered,29-07-18 11:24,29-07-18 11:44,30-07-18 13:47,02-08-18 22:09,13-08-18 0:00
2ce1ad82022c1ba30c2079502ac725aa,7f2178c5d771e17f507d3c1637339298,delivered,09-08-17 20:19,11-08-17 4:15,11-08-17 17:52,16-08-17 17:16,31-08-17 0:00
138849fd84dff2fb4ca70a0a34c4aa1c,9b18f3fc296990b97854e351334a32f6,delivered,01-02-18 14:02,03-02-18 2:53,06-02-18 19:13,14-02-18 13:41,23-02-18 0:00
47aa4816b27ba60ec948cd019cc1afc1,148348ff65384b4249b762579532e248,delivered,26-06-18 13:42,27-06-18 8:35,27-06-18 13:20,03-07-18 18:37,20-07-18 0:00
9faeb9b2746b9d7526aef5acb08e2aa0,79183cd650e2bb0d475b0067d45946ac,delivered,26-07-18 14:39,26-07-18 14:55,27-07-18 12:04,31-07-18 22:26,16-08-18 0:00
641fb0752bf5b5940c376b3a8bb9dc52,f5afca14dfa9dc64251cf2b45c54c363,delivered,15-12-17 0:06,15-12-17 0:14,19-12-17 1:58,03-01-18 15:09,16-01-18 0:00
e425680f760cbc130be3e53a9773c584,f178c1827f67a8467b0385b7378d951a,delivered,31-08-17 8:15,31-08-17 8:30,31-08-17 20:06,04-09-17 20:59,20-09-17 0:00
40c5e18f7d112b59b3e5113a59a905b3,67407057a7d5ee17d1cd09523f484d13,delivered,11-06-18 10:25,11-06-18 10:58,14-06-18 13:03,19-06-18 0:31,16-07-18 0:00
734e7d1bbaeb2ff82521ca0fe6fb6f79,2932d241d1f31e6df6c701d52370ae02,delivered,11-06-18 8:18,11-06-18 8:31,11-06-18 14:54,14-06-18 21:32,05-07-18 0:00
